Invoice_ID,Branch,City,Customer_type,Gender,Product_line, unit_price ,Quantity,Tax_5%,Total,Date,Time,Payment,gross_margin_percentage,gross_income,Rating
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories, ? 76.00 ,9,35.348, ? 719.35 ,03-01-2019,13:22:00,Cash,476.19%,35.348,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories, ? 93.00 ,9,10.382, ? 847.38 ,02-01-2019,11:27:00,Cash,476.19%,10.382,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages, ? 96.00 ,6,17.478, ? 593.48 ,3/28/2019,16:44:00,Cash,476.19%,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty, ? 80.00 ,7,10.623, ? 570.62 ,3/19/2019,18:19:00,Cash,476.19%,10.623,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories, ? 84.00 ,10,44.335, ? 884.34 ,01-12-2019,14:50:00,Ewallet,476.19%,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories, ? 97.00 ,6,8.214, ? 590.21 ,01-05-2019,20:54:00,Credit card,476.19%,8.214,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel, ? 53.00 ,6,18.639, ? 336.64 ,3/22/2019,20:19:00,Cash,476.19%,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages, ? 81.00 ,9,15.291, ? 744.29 ,3/24/2019,10:43:00,Cash,476.19%,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories, ? 88.00 ,10,40.985, ? 920.99 ,03-03-2019,14:30:00,Cash,476.19%,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel, ? 83.00 ,2,1.649, ? 167.65 ,02-05-2019,11:32:00,Ewallet,476.19%,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty, ? 69.00 ,3,14.732, ? 221.73 ,02-05-2019,10:41:00,Credit card,476.19%,14.732,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories, ? 86.00 ,7,25.494, ? 627.49 ,2/15/2019,12:44:00,Cash,476.19%,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle, ? 91.00 ,9,26.132, ? 845.13 ,1/19/2019,20:07:00,Ewallet,476.19%,26.132,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle, ? 89.00 ,9,36.356, ? 837.36 ,02-01-2019,20:31:00,Credit card,476.19%,36.356,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories, ? 73.00 ,3,4.053, ? 223.05 ,03-02-2019,13:01:00,Credit card,476.19%,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories, ? 83.00 ,5,5.485, ? 420.49 ,03-05-2019,12:29:00,Ewallet,476.19%,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories, ? 62.00 ,1,2.568, ? 64.57 ,1/16/2019,15:26:00,Ewallet,476.19%,2.568,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages, ? 89.00 ,10,5.48, ? 895.48 ,02-02-2019,20:48:00,Ewallet,476.19%,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle, ? 99.00 ,2,5.344, ? 203.34 ,1/20/2019,20:38:00,Ewallet,476.19%,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories, ? 61.00 ,8,39.824, ? 527.82 ,2/14/2019,17:03:00,Credit card,476.19%,39.824,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel, ? 96.00 ,7,19.992, ? 691.99 ,01-12-2019,12:02:00,Credit card,476.19%,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel, ? 91.00 ,9,44.982, ? 863.98 ,03-09-2019,17:26:00,Credit card,476.19%,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle, ? 55.00 ,8,25.564, ? 465.56 ,3/13/2019,19:52:00,Credit card,476.19%,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories, ? 87.00 ,8,22.588, ? 718.59 ,03-09-2019,14:57:00,Ewallet,476.19%,22.588,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle, ? 63.00 ,7,32.792, ? 473.79 ,03-10-2019,18:44:00,Credit card,476.19%,32.792,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel, ? 71.00 ,5,8.063, ? 363.06 ,1/27/2019,13:26:00,Cash,476.19%,8.063,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories, ? 55.00 ,9,14.279, ? 509.28 ,01-08-2019,16:17:00,Credit card,476.19%,14.279,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages, ? 82.00 ,8,27.416, ? 683.42 ,01-08-2019,15:57:00,Ewallet,476.19%,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel, ? 80.00 ,9,40.626, ? 760.63 ,02-08-2019,11:15:00,Ewallet,476.19%,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories, ? 68.00 ,7,13.867, ? 489.87 ,1/25/2019,13:18:00,Cash,476.19%,13.867,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel, ? 70.00 ,6,27.639, ? 447.64 ,03-06-2019,20:34:00,Cash,476.19%,27.639,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel, ? 86.00 ,4,6.968, ? 350.97 ,02-10-2019,18:36:00,Cash,476.19%,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories, ? 63.00 ,6,26.235, ? 404.24 ,2/17/2019,14:40:00,Credit card,476.19%,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty, ? 57.00 ,6,24.39, ? 366.39 ,03-08-2019,16:43:00,Ewallet,476.19%,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories, ? 98.00 ,3,13.533, ? 307.53 ,2/18/2019,19:39:00,Cash,476.19%,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories, ? 61.00 ,5,6.578, ? 311.58 ,1/18/2019,20:59:00,Credit card,476.19%,6.578,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle, ? 67.00 ,6,10.326, ? 412.33 ,2/18/2019,15:39:00,Cash,476.19%,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel, ? 69.00 ,10,25.955, ? 715.96 ,2/16/2019,12:21:00,Cash,476.19%,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel, ? 97.00 ,8,29, ? 805.00 ,3/16/2019,19:25:00,Ewallet,476.19%,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel, ? 97.00 ,10,44.9," ? 1,014.90 ",1/23/2019,13:00:00,Credit card,476.19%,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty, ? 45.00 ,10,45.25, ? 495.25 ,1/25/2019,13:48:00,Cash,476.19%,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty, ? 93.00 ,10,34.3, ? 964.30 ,02-05-2019,19:57:00,Cash,476.19%,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages, ? 69.00 ,1,1.521, ? 70.52 ,2/22/2019,10:36:00,Credit card,476.19%,1.521,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle, ? 82.00 ,6,23.385, ? 515.39 ,1/21/2019,16:37:00,Ewallet,476.19%,23.385,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty, ? 89.00 ,6,13.878, ? 547.88 ,03-08-2019,17:11:00,Credit card,476.19%,13.878,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories, ? 99.00 ,10,15.07," ? 1,005.07 ",02-10-2019,12:28:00,Ewallet,476.19%,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty, ? 70.00 ,4,13.228, ? 293.23 ,3/19/2019,12:46:00,Credit card,476.19%,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle, ? 70.00 ,8,28.744, ? 588.74 ,03-06-2019,15:07:00,Credit card,476.19%,28.744,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty, ? 71.00 ,8,12.984, ? 580.98 ,3/27/2019,13:48:00,Credit card,476.19%,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories, ? 69.00 ,4,18.308, ? 294.31 ,3/23/2019,19:20:00,Credit card,476.19%,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel, ? 82.00 ,7,12.096, ? 586.10 ,03-11-2019,16:07:00,Credit card,476.19%,12.096,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories, ? 90.00 ,9,37.458, ? 847.46 ,1/29/2019,11:56:00,Credit card,476.19%,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages, ? 46.00 ,6,4.944, ? 280.94 ,02-07-2019,18:23:00,Ewallet,476.19%,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel, ? 45.00 ,8,32.388, ? 392.39 ,1/28/2019,13:05:00,Cash,476.19%,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages, ? 74.00 ,5,23.073, ? 393.07 ,2/20/2019,15:55:00,Credit card,476.19%,23.073,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories, ? 84.00 ,1,3.609, ? 87.61 ,01-04-2019,19:40:00,Cash,476.19%,3.609,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle, ? 89.00 ,5,12.57, ? 457.57 ,03-07-2019,13:58:00,Ewallet,476.19%,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty, ? 74.00 ,9,43.749, ? 709.75 ,3/30/2019,14:43:00,Ewallet,476.19%,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel, ? 48.00 ,6,28.017, ? 316.02 ,3/27/2019,19:18:00,Ewallet,476.19%,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages, ? 61.00 ,8,17.272, ? 505.27 ,1/19/2019,19:39:00,Credit card,476.19%,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel, ? 81.00 ,1,3.185, ? 84.18 ,2/25/2019,16:21:00,Cash,476.19%,3.185,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages, ? 52.00 ,7,16.027, ? 380.03 ,3/13/2019,19:44:00,Credit card,476.19%,16.027,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel, ? 85.00 ,2,7.64, ? 177.64 ,1/30/2019,19:42:00,Ewallet,476.19%,7.64,6.5
